order_date,product,quantity,price,customer_segment,region
2024-01-05,Laptop,1,1200.00,Business,North
2024-01-05,Mouse,2,25.00,Consumer,South
2024-01-06,Keyboard,1,75.00,Consumer,East
2024-01-07,Monitor,1,350.00,Business,West
2024-01-08,Laptop,2,1200.00,Business,North
2024-01-09,Mouse,5,25.00,Consumer,South
2024-01-10,Keyboard,3,75.00,Business,East
2024-01-11,Monitor,1,350.00,Consumer,West
2024-01-12,Laptop,1,1200.00,Consumer,North
2024-01-13,Mouse,4,25.00,Business,South
2024-01-14,Keyboard,2,75.00,Consumer,East
2024-01-15,Monitor,2,350.00,Business,West
2024-01-16,Laptop,1,1200.00,Business,North
2024-01-17,Mouse,3,25.00,Consumer,South
2024-01-18,Keyboard,1,75.00,Business,East
2024-01-19,Monitor,1,350.00,Consumer,West
2024-01-20,Laptop,2,1200.00,Business,North
2024-01-21,Mouse,2,25.00,Consumer,South
2024-01-22,Keyboard,4,75.00,Business,East
2024-01-23,Monitor,1,350.00,Consumer,West
